wavelengths	intensities
215.96793	229.465
215.98216	368.319
215.9964	390.521
216.01065	210.239
216.02489	346.463
216.03914	503.195
216.05338	282.45
216.06763	407.694
216.08188	503.836
216.09612	308.27
216.11037	297.342
216.12462	277.609
216.13885	414.805
216.15311	384.127
216.16736	204.514
216.18161	70.5974
216.19586	173.358
216.21011	259.939
216.22437	129.368
216.23862	196.825
216.25287	351.083
216.26712	232.251
216.28137	318.268
216.29562	159.911
216.30988	122.445
216.32413	134.023
216.33839	107.179
216.35265	407.605
216.3669	257.529
216.38116	238.7
216.39542	-7.46688
216.40968	161.08
216.42393	163.241
216.43819	211.111
216.45245	83.9479
216.46672	-31.1788
216.48097	47.705
216.49524	220.843
216.50951	-60.3695
216.52376	29.6339
216.53802	-95.4954
216.55229	-72.0633
216.56656	81.8818
216.58083	93.7916
216.59508	158.312
216.60934	120.153
216.62361	156.93
216.63788	238.11
216.65215	368.753
216.66643	364.314
216.68069	-3.5717
216.69496	-159.205
216.70923	200.598
216.7235	500.102
216.73776	471.277
216.75204	248.617
216.76631	253.84
216.78059	125.992
216.79486	56.6206
216.80913	118.52
216.82341	196.809
216.83768	71.4509
216.85196	47.9815
216.86624	28.7676
216.88051	23.3409
216.89479	29.7159
216.90907	163.635
216.92334	27.5437
216.93762	11.1713
216.9519	334.672
216.96619	221.76
216.98047	173.588
216.99474	230.931
217.00902	388.622
217.0233	260.074
217.03758	673.24
217.05188	421.577
217.06616	480.118
217.08044	266.261
217.09473	243.528
217.10901	284.627
217.12329	217.143
217.13759	187.926
217.15187	357.999
217.16615	413.773
217.18045	419.335
217.19473	422.807
217.20903	432.929
217.22331	320.398
217.23761	192.722
217.25189	253.55
217.26619	227.439
217.28047	354.097
217.29477	285.102
217.30907	351.314
217.32336	114.167
217.33765	445.327
217.35194	200.264
217.36624	75.3069
217.38054	229.539
217.39484	330.637
217.40913	313.52
217.42343	291.183
217.43773	117.09
217.45203	107.674
217.46632	215.492
217.48062	259.969
217.49493	346.468
217.50923	293.314
217.52353	352.946
217.53783	485.728
217.55214	202.38
217.56644	228.911
217.58073	153.537
217.59505	273.917
217.60934	405.616
217.62366	331.743
217.63795	358.675
217.65227	254.32
217.66658	75.4306
217.68088	107.396
217.69519	223.968
217.7095	207.419
217.72382	192.729
217.73811	192.278
217.75243	200.485
217.76674	238.504
217.78105	295.274
217.79536	405.66
217.80968	428.417
217.82399	183.414
217.8383	12.0529
217.85262	-105.102
217.86693	-8.95152
217.88126	176.188
217.89557	-30.7079
217.90988	78.436
217.92419	-246.88
217.93852	41.3386
217.95284	61.93
217.96715	23.2548
217.98148	89.961
217.99579	113.147
218.01012	404.97
218.02443	536.089
218.03876	259.596
218.05309	136.904
218.0674	81.2711
218.08173	-4.93665
218.09605	-105.11
218.11037	21.1358
218.12469	10.8558
218.13902	-39.7953
218.15335	-45.889
218.16768	-75.0662
218.18201	37.2739
218.19633	71.3324
218.21066	77.9313
218.22499	-7.80612
218.23932	65.8768
218.25365	168.007
218.26797	226.374
218.28232	239.542
218.29665	31.7369
218.31097	201.078
218.3253	154.97
218.33965	527.532
218.35397	498.305
218.36832	441.992
218.38264	377.114
218.39699	180.139
218.41132	176.284
218.42566	496.36
218.43999	314.866
218.45433	156.391
218.46867	173.725
218.483	87.2193
218.49734	117.946
218.51169	165.047
218.52603	166.461
218.54037	356.801
218.55472	442.122
218.56906	277.19
218.5834	176.864
218.59775	304.13
218.61209	412.163
218.62643	342.378
218.64078	400.957
218.65512	275.744
218.66946	132.185
218.68382	34.4933
218.69817	164.144
218.71251	111.096
218.72687	438.434
218.74121	152.194
218.75555	-96.7737
218.76991	10.9318
218.78426	62.9182
218.79861	214.767
218.81296	293.37
218.82732	370.861
218.84167	465.032
218.85602	664.869
218.87038	547.04
218.88474	346.193
218.89909	241.702
218.91345	146.439
218.9278	209.171
218.94215	140.082
218.95651	-40.4617
218.97087	-150.336
218.98523	-25.8573
218.99959	-88.7957
219.01396	-20.8224
219.02832	129.83
219.04268	93.2405
219.05704	181.781
219.0714	134.886
219.08577	185.055
219.10013	244.4
219.11449	65.2629
219.12886	214.18
219.14322	103.253
219.15759	30.8573
219.17195	131.294
219.18633	260.207
219.20068	207.112
219.21506	158.876
219.22943	166.57
219.24379	256.706
219.25816	281.113
